participant_id,dataset,block,trial,subset,image,image_onset_s,washout_dur_s,question_shown,response,rt_s
115,X,1,1,a,ds1_a_11.png,1.8071,4.6791,0,,
115,X,1,2,a,ds1_a_03.png,8.497,5.5836,0,,
115,X,1,3,b,ds1_b_02.png,16.0894,3.7689,0,,
115,X,1,4,a,ds1_a_01.png,21.8655,6.1606,0,,
115,X,1,5,b,ds1_b_11.png,30.0335,3.5441,0,,
115,X,1,6,b,ds1_b_08.png,35.5868,5.681,1,professional,2.839
115,X,1,7,b,ds1_b_09.png,43.2783,4.2987,0,,
115,X,1,8,b,ds1_b_05.png,49.5869,5.8292,0,,
115,X,1,9,b,ds1_b_14.png,57.4242,5.225,0,,
115,X,1,10,a,ds1_a_14.png,64.6587,6.4672,0,,
115,X,1,11,a,ds1_a_07.png,73.1336,3.6905,0,,
115,X,1,12,b,ds1_b_13.png,78.8334,3.9397,0,,
115,X,1,13,a,ds1_a_13.png,84.7821,6.2846,0,,
115,X,1,14,a,ds1_a_04.png,93.0756,4.532,0,,
115,X,1,15,b,ds1_b_07.png,99.6148,4.803,1,no_response,
115,X,1,16,b,ds1_b_06.png,106.4255,5.8897,0,,
115,X,1,17,b,ds1_b_15.png,114.3234,5.1198,0,,
115,X,1,18,b,ds1_b_12.png,121.4511,5.4581,0,,
115,X,1,19,a,ds1_a_06.png,128.9189,4.983,0,,
115,X,1,20,a,ds1_a_02.png,135.9122,3.7134,0,,
115,X,1,21,a,ds1_a_05.png,141.6344,4.3861,0,,
115,X,1,22,a,ds1_a_08.png,148.0292,6.109,1,no_response,
115,X,1,23,a,ds1_a_15.png,156.1469,5.8947,0,,
115,X,1,24,b,ds1_b_10.png,164.0505,4.0199,0,,
115,X,1,25,a,ds1_a_09.png,170.0801,6.3099,0,,
115,X,1,26,b,ds1_b_04.png,178.3994,4.2294,0,,
115,X,1,27,a,ds1_a_10.png,184.638,5.1478,0,,
115,X,1,28,b,ds1_b_03.png,191.795,6.256,0,,
115,X,1,29,a,ds1_a_12.png,200.0611,5.2811,0,,
115,X,1,30,b,ds1_b_01.png,207.352,6.1682,0,,
115,X,2,1,c,ds1_c_01.png,221.3697,5.1328,0,,
115,X,2,2,d,ds1_d_02.png,228.6623,6.1662,0,,
