participant_id,session,participant_list,dataset,music_subset,no_music_subset,song,test_mode,block,trial,subset,image,image_onset_s,washout_dur_s,question_shown,response,rt_s
3321,Baseline,3,Group_2,a,b,song_2.wav,0,1,1,b,192 - 79591 - The Green Line.jpg,11.4704,6.2764,0,,
3321,Baseline,3,Group_2,a,b,song_2.wav,0,1,2,b,182 - 66020 - New York.jpg,19.7768,2.9802,1,beginner,2.5435
3321,Baseline,3,Group_2,a,b,song_2.wav,0,1,3,b,124 - 234101 - Burnt Umber and Ultramarine.jpg,24.8252,2.4751,0,,
3321,Baseline,3,Group_2,a,b,song_2.wav,0,1,4,b,228 - 204041 - Extemporaneous.jpg,29.3423,6.3586,0,,
3321,Baseline,3,Group_2,a,b,song_2.wav,0,1,5,b,194 - 53599 - Blooming Plant.jpg,37.7494,3.11,0,,
3321,Baseline,3,Group_2,a,b,song_2.wav,0,1,6,b,059 - 222922 - Untitled.jpg,42.895,5.0779,0,,
3321,Baseline,3,Group_2,a,b,song_2.wav,0,1,7,b,125 - 80238 - Composition in Brown.jpg,50.0097,3.3686,0,,
3321,Baseline,3,Group_2,a,b,song_2.wav,0,1,8,b,060 - 152753 - Untitled.jpg,55.4186,5.6111,0,,
3321,Baseline,3,Group_2,a,b,song_2.wav,0,1,9,b,237 - 146994 - Ice (1).jpg,63.0933,5.4548,0,,
3321,Baseline,3,Group_2,a,b,song_2.wav,0,1,10,b,211 - 237886 - Waterfall.jpg,70.5977,4.6666,0,,
3321,Baseline,3,Group_2,a,b,song_2.wav,0,1,11,b,160 - 36257 - Untitled.jpg,77.3048,4.7945,0,,
3321,Baseline,3,Group_2,a,b,song_2.wav,0,1,12,b,065 - 207003 - Nine Clearings for a Standing Man.jpg,84.1459,2.3701,0,,
3321,Baseline,3,Group_2,a,b,song_2.wav,0,1,13,b,239 - 50290 - The Facetted Cliffs.jpg,88.5592,5.8,0,,
