participant_id,session,participant_list,dataset,music_subset,song,test_mode,block,trial,subset,image,image_onset_s,washout_dur_s,question_shown,response,rt_s
Ami,Baseline,2,Group_1,b,Song 2,0,1,1,a,096 - 109454 - Study #5 Mykonos.jpg,1.1832,5.0208,1,beginner,4.033
Ami,Baseline,2,Group_1,b,Song 2,0,1,2,a,171 - 117189 - Untitled.jpg,8.2747,6.3682,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,3,a,048 - 70024 - Untitled.jpg,16.6804,3.7597,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,4,a,206 - 65901 - Swing Music (Louis Armstrong).jpg,22.4801,3.5419,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,5,a,"098 - 99425 - Composition in Gray, Orange and Yellow.jpg",28.0516,4.4712,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,6,a,079 - 97410 - Back on Earth.jpg,34.5495,4.2388,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,7,a,152 - 237892 - Tikpo.jpg,40.8363,2.4954,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,8,a,216 - 117406 - Composition.jpg,45.3885,6.1253,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,9,a,014 - 129094 - Kewalo Close-Up.jpg,53.5402,2.772,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,10,a,127 - 60257 - La Ciudad Perdida (The Lost City).jpg,58.3469,5.3805,1,no_response,
Ami,Baseline,2,Group_1,b,Song 2,0,1,11,a,103 - 234003 - Ecriture 46-73.jpg,65.7776,4.9419,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,12,a,222 - 60254 - Invention.jpg,72.7704,5.5388,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,13,a,181 - 62326 - Wings.jpg,80.3586,5.9767,1,no_response,
Ami,Baseline,2,Group_1,b,Song 2,0,1,14,a,191 - 54745 - The Rapidity of Sleep.jpg,88.3894,2.4401,1,no_response,
Ami,Baseline,2,Group_1,b,Song 2,0,1,15,a,161 - 11103 - Composition in Brown.jpg,92.8829,2.2751,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,16,a,044 - 84246 - White (Bianco).jpg,97.1931,2.1387,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,17,a,172 - 117258 - Reconstruction #117.jpg,101.3729,5.0834,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,18,a,197 - 62375 - Singed Garden.jpg,108.4904,5.6869,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,19,a,128 - 122691 - Untitled.jpg,116.2073,4.6041,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,20,a,159 - 63990 - Stakim.jpg,122.8381,5.9071,1,no_response,
Ami,Baseline,2,Group_1,b,Song 2,0,1,21,a,010 - 107327 - To Lee and Glynna.jpg,130.7785,4.8348,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,22,a,019 - 20397 - First Theme.jpg,137.6596,3.019,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,23,a,001 - 228850 - Orient Express I.jpg,142.7004,3.9829,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,24,a,106 - 84243 - Affiche Metro.jpg,148.7087,2.1597,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,25,a,232 - 17458 - Ballet of the Left-Handed Piano.jpg,152.9198,2.317,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,26,a,017 - 72177 - Heart of Darkness.jpg,157.2658,5.4277,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,27,a,074 - 110991 - Orphist Composition with Disks.jpg,164.7509,3.0787,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,28,a,027 - 220544 - Untitled.jpg,169.8825,6.4339,1,professional,5.6517
Ami,Baseline,2,Group_1,b,Song 2,0,1,29,a,008 - 66204 - Ouk 2.jpg,178.3601,6.2173,0,,
Ami,Baseline,2,Group_1,b,Song 2,0,1,30,a,134 - 75643 - Duke Leader (Ladder) Not Alone.jpg,186.6149,5.3786,0,,
