participant_id,session,participant_list,dataset,music_subset,no_music_subset,song,test_mode,music_first,block,trial,subset,image_filename,image_onset_ms,isi_dur_ms,question_shown,response,rt_ms
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,1,b,"026 - 210640 - Untitled, from Insect Series.jpg",14,5991,0,,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,2,b,042 - 186720 - Untitled.jpg,8034,5207,0,,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,3,b,123 - 72353 - Abstract Landscape.jpg,15268,6304,0,,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,4,b,192 - 79591 - The Green Line.jpg,23584,6667,0,,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,5,b,190 - 16706 - Untitled.jpg,32271,4265,0,,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,6,b,083 - 23979 - Capella.jpg,38561,5433,0,,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,7,b,030 - 60736 - Cyclops.jpg,46011,3579,0,,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,8,b,239 - 50290 - The Facetted Cliffs.jpg,51606,6396,0,,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,9,b,168 - 251140 - White Cap.jpg,60018,3950,0,,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,10,b,154 - 107255 - A la pintura Blue 5.jpg,65986,3792,0,,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,11,b,058 - 48141 - Egypto.jpg,71793,6959,0,,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,12,b,046 - 14316 - Classic Boundaries I.jpg,80773,6466,0,,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,13,b,156 - 51723 - Machine.jpg,89254,4816,1,no_response,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,14,b,106 - 84243 - Affiche Metro.jpg,96094,5230,0,,
kkk,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,15,b,182 - 66020 - New York.jpg,103341,5347,0,,
